"","revenue","vote_average","genre.1","genre.2","genre.3","Director","actor.1","actor.2","actor.3","Action","Adventure","Animation","Comedy","Crime","Drama","Family","Fantasy","History","Horror","Music","Mystery","Romance","Science.Fiction","Thriller","War","Western"
"1",850000000,7.3,"Science Fiction","Adventure","Action","George Lucas","Hayden Christensen","Ewan McGregor","Natalie Portman","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"2",542307423,7.4,"War","Action","NULL","Clint Eastwood","Bradley Cooper","Sienna Miller","Kyle Gallner","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"3",104931801,8.1,"Horror","Science Fiction","NULL","Ridley Scott","Tom Skerritt","Sigourney Weaver","Veronica Cartwright","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0"
"4",393616788,6.1,"Fantasy","Drama","Romance","Catherine Hardwicke","Kristen Stewart","Robert Pattinson","Billy Burke","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0"
"5",1028570889,7,"Adventure","Animation","Comedy","Andrew Stanton","Ellen DeGeneres","Albert Brooks","Hayden Rolence","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6",494878759,7.8,"Fantasy","Adventure","Animation","Chris Sanders","Jay Baruchel","Gerard Butler","Craig Ferguson","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"7",958400000,7.6,"Adventure","Fantasy","Action","Peter Jackson","Ian McKellen","Martin Freeman","Richard Armitage","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"8",383257136,7.3,"Animation","Comedy","Family","Chris Wedge","Ray Romano","John Leguizamo","Denis Leary","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"9",229400000,8.5,"Comedy","Drama","NULL","Roberto Benigni","Roberto Benigni","Nicoletta Braschi","Giorgio Cantarini","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"10",549368315,6.3,"Comedy","Fantasy","NULL","Seth MacFarlane","Mark Wahlberg","Mila Kunis","Seth MacFarlane","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"11",53000000,7.7,"Fantasy","Drama","Romance","Tim Burton","Johnny Depp","Winona Ryder","Dianne Wiest","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0"
"12",855013954,6.7,"Science Fiction","Action","NULL","Ruben Fleischer","Tom Hardy","Michelle Williams","Riz Ahmed","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"13",236412453,7.1,"Drama","Comedy","Romance","David O. Russell","Bradley Cooper","Jennifer Lawrence","Robert De Niro","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0"
"14",769653595,5.7,"Action","Adventure","Science Fiction","Roland Emmerich","John Cusack","Amanda Peet","Chiwetel Ejiofor","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"15",649398328,6.5,"Adventure","Action","Science Fiction","George Lucas","Hayden Christensen","Ewan McGregor","Natalie Portman","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"16",653428261,6.9,"Action","Adventure","Science Fiction","Francis Lawrence","Jennifer Lawrence","Liam Hemsworth","Woody Harrelson","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"17",194989655,7.2,"Drama","Fantasy","Romance","Guillermo del Toro","Sally Hawkins","Doug Jones","Michael Shannon","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0"
"18",1148461807,6.8,"Action","Adventure","Fantasy","James Wan","Jason Momoa","Amber Heard","Willem Dafoe","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"19",407602906,6.8,"Action","Science Fiction","Adventure","Guillermo del Toro","Idris Elba","Charlie Hunnam","Rinko Kikuchi","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"20",890871626,6.2,"Fantasy","Action","Adventure","Sam Raimi","Tobey Maguire","Kirsten Dunst","James Franco","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"21",351040419,7.4,"Drama","Romance","NULL","Baz Luhrmann","Leonardo DiCaprio","Tobey Maguire","Carey Mulligan","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"22",96188903,7.1,"Action","Crime","NULL","Matthew Vaughn","Aaron Taylor-Johnson","Chloë Grace Moretz","Christopher Mintz-Plasse","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"23",1242805359,7.5,"Action","Adventure","Animation","Brad Bird","Craig T. Nelson","Holly Hunter","Sarah Vowell","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24",403170142,6.4,"Science Fiction","Adventure","Mystery","Ridley Scott","Noomi Rapace","Michael Fassbender","Charlize Theron","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0"
"25",622674139,7,"Action","Adventure","Science Fiction","Peyton Reed","Paul Rudd","Evangeline Lilly","Michael Peña","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"26",708962323,6.4,"Action","Adventure","Fantasy","Marc Webb","Andrew Garfield","Emma Stone","Jamie Foxx","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"27",332000000,7.7,"Adventure","Comedy","Family","Robert Zemeckis","Michael J. Fox","Christopher Lloyd","Lea Thompson","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"28",482860185,7.2,"Thriller","Action","Drama","Rupert Wyatt","James Franco","Andy Serkis","Freida Pinto","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
