"","budget","id","popularity","Earnings","runtime","vote_average","vote_count","Distributor","Title","Director","actor.1","actor.2","actor.3","year","Action","Adventure","Animation","Comedy","Crime","Drama","Family","Fantasy","History","Horror","Music","Mystery","Romance","Science.Fiction","Thriller","War","Western","count"
"1",237000000,19995,150.437577,2787965087,162,7.2,11800,"Ingenious Film Partners","Avatar","James Cameron","Sam Worthington","Sigourney Weaver","Sigourney Weaver",2009,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17
"2",300000000,285,139.082615,9.61e+08,169,6.9,4500,"Walt Disney","Pirates of the Caribbean: At World's End","Gore Verbinski","Johnny Depp","Keira Knightley","Keira Knightley",2007,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,134
"3",245000000,206647,107.376788,880674609,148,6.3,4466,"Columbia Pictures","Spectre","Sam Mendes","Daniel Craig","Léa Seydoux","Léa Seydoux",2015,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,224
"4",250000000,49026,112.31295,1084939099,165,7.6,9106,"Legendary Pictures","The Dark Knight Rises","Christopher Nolan","Christian Bale","Gary Oldman","Gary Oldman",2012,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,16
"5",260000000,49529,43.926995,284139100,132,6.1,2124,"Walt Disney","John Carter","Andrew Stanton","Taylor Kitsch","Samantha Morton","Samantha Morton",2012,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,134
"6",258000000,559,115.699814,890871626,139,5.9,3576,"Columbia Pictures","Spider-Man 3","Sam Raimi","Tobey Maguire","James Franco","James Franco",2007,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,224
"7",260000000,38757,48.681969,591794936,100,7.4,3330,"Walt Disney","Tangled","Byron Howard","Zachary Levi","Donna Murphy","Donna Murphy",2010,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,134
"8",280000000,99861,134.279229,1405403694,141,7.3,6767,"Marvel Studios","Avengers: Age of Ultron","Joss Whedon","Robert Downey Jr.","Mark Ruffalo","Mark Ruffalo",2015,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
"9",250000000,767,98.885637,933959197,153,7.4,5293,"Warner Bros.","Harry Potter and the Half-Blood Prince","David Yates","Daniel Radcliffe","Emma Watson","Emma Watson",2009,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,128
"10",250000000,209112,155.790452,873260194,151,5.7,7004,"DC Comics","Batman v Superman: Dawn of Justice","Zack Snyder","Ben Affleck","Gal Gadot","Gal Gadot",2016,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
"11",270000000,1452,57.925623,391081192,154,5.4,1400,"DC Comics","Superman Returns","Bryan Singer","Brandon Routh","Kate Bosworth","Kate Bosworth",2006,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
"12",200000000,10764,107.928811,586090727,106,6.1,2965,"Eon Productions","Quantum of Solace","Marc Forster","Daniel Craig","Mathieu Amalric","Mathieu Amalric",2008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
"13",200000000,58,145.847379,1065659812,151,7,5246,"Walt Disney","Pirates of the Caribbean: Dead Man's Chest","Gore Verbinski","Johnny Depp","Keira Knightley","Keira Knightley",2006,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,134
"14",255000000,57201,49.046956,89289910,149,5.9,2311,"Walt Disney","The Lone Ranger","Gore Verbinski","Johnny Depp","William Fichtner","William Fichtner",2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,134
"15",225000000,49521,99.398009,662845518,143,6.5,6359,"Legendary Pictures","Man of Steel","Zack Snyder","Henry Cavill","Michael Shannon","Michael Shannon",2013,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16
"16",225000000,2454,53.978602,419651413,150,6.3,1630,"Walt Disney","The Chronicles of Narnia: Prince Caspian","Andrew Adamson","Ben Barnes","Anna Popplewell","Anna Popplewell",2008,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,134
"17",220000000,24428,144.448633,1519557910,143,7.4,11776,"Paramount Pictures","The Avengers","Joss Whedon","Robert Downey Jr.","Mark Ruffalo","Mark Ruffalo",2012,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,269
"18",380000000,1865,135.413856,1045713802,136,6.4,4948,"Walt Disney","Pirates of the Caribbean: On Stranger Tides","Rob Marshall","Johnny Depp","Ian McShane","Ian McShane",2011,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,134
"19",225000000,41154,52.035179,624026776,106,6.2,4160,"Amblin Entertainment","Men in Black 3","Barry Sonnenfeld","Will Smith","Josh Brolin","Josh Brolin",2012,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12
"20",250000000,122917,120.965743,956019788,144,7.1,4760,"WingNut Films","The Hobbit: The Battle of the Five Armies","Peter Jackson","Martin Freeman","Richard Armitage","Richard Armitage",2014,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10
"21",215000000,1930,89.866276,752215857,136,6.5,6586,"Columbia Pictures","The Amazing Spider-Man","Marc Webb","Andrew Garfield","Rhys Ifans","Rhys Ifans",2012,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,224
"22",200000000,20662,37.668301,310669540,140,6.2,1398,"Imagine Entertainment","Robin Hood","Ridley Scott","Russell Crowe","Max von Sydow","Max von Sydow",2010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"23",250000000,57158,94.370564,958400000,161,7.6,4524,"WingNut Films","The Hobbit: The Desolation of Smaug","Peter Jackson","Martin Freeman","Richard Armitage","Richard Armitage",2013,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10
"24",180000000,2268,42.990906,372234864,113,5.8,1303,"New Line Cinema","The Golden Compass","Chris Weitz","Dakota Blue Richards","Daniel Craig","Daniel Craig",2007,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,136
"25",207000000,254,61.22601,5.5e+08,187,6.6,2337,"WingNut Films","King Kong","Peter Jackson","Naomi Watts","Adrien Brody","Adrien Brody",2005,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10
"26",200000000,597,100.025899,1845034188,194,7.5,7562,"Paramount Pictures","Titanic","James Cameron","Kate Winslet","Frances Fisher","Frances Fisher",1997,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,269
"27",250000000,271110,198.372395,1153304495,147,7.1,7241,"Studio Babelsberg","Captain America: Civil War","Anthony Russo","Chris Evans","Scarlett Johansson","Scarlett Johansson",2016,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15
"28",209000000,44833,64.928382,303025485,131,5.5,2114,"Universal Pictures","Battleship","Peter Berg","Taylor Kitsch","Rihanna","Rihanna",2012,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,286
"29",150000000,135397,418.708552,1513528810,124,6.5,8662,"Universal Studios","Jurassic World","Colin Trevorrow","Chris Pratt","Irrfan Khan","Irrfan Khan",2015,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
"30",200000000,37724,93.004993,1108561013,143,6.9,7604,"Columbia Pictures","Skyfall","Sam Mendes","Daniel Craig","Javier Bardem","Javier Bardem",2012,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,224
"31",200000000,558,35.149586,783766341,127,6.7,4321,"Columbia Pictures","Spider-Man 2","Sam Raimi","Tobey Maguire","James Franco","James Franco",2004,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,224
"32",200000000,68721,77.68208,1215439994,130,6.8,8806,"Marvel Studios","Iron Man 3","Shane Black","Robert Downey Jr.","Don Cheadle","Don Cheadle",2013,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
"33",200000000,12155,78.530105,1025491110,108,6.4,4645,"Walt Disney","Alice in Wonderland","Tim Burton","Mia Wasikowska","Anne Hathaway","Anne Hathaway",2010,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,134
"34",210000000,36668,3.857526,459359555,104,6.3,3525,"Ingenious Film Partners","X-Men: The Last Stand","Brett Ratner","Hugh Jackman","Ian McKellen","Ian McKellen",2006,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17
"35",200000000,62211,89.186492,743559607,104,7,3528,"Walt Disney","Monsters University","Dan Scanlon","Billy Crystal","Steve Buscemi","Steve Buscemi",2013,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,134
